,Ticker,Breakdown,Recent,Before_1,Before_2,Before_3
0,A,researchDevelopment,117000000,116000000,113000000,109000000
1,A,effectOfAccountingCharges,,,,
2,A,incomeBeforeTax,319000000,448000000,327000000,273000000
3,A,minorityInterest,,,,
4,A,netIncome,283000000,442000000,264000000,216000000
5,A,sellingGeneralAdministrative,400000000,365000000,390000000,420000000
6,A,grossProfit,910000000,900000000,852000000,817000000
7,A,ebit,393000000,419000000,349000000,288000000
8,A,operatingIncome,393000000,419000000,349000000,288000000
9,A,otherOperatingExpenses,,,,
10,A,interestExpense,-21000000,-21000000,-21000000,-20000000
11,A,extraordinaryItems,,,,
12,A,nonRecurring,,,,
13,A,otherItems,,,,
14,A,incomeTaxExpense,36000000,6000000,63000000,57000000
15,A,totalRevenue,1674000000,1660000000,1586000000,1525000000
16,A,totalOperatingExpenses,1281000000,1241000000,1237000000,1237000000
17,A,costOfRevenue,764000000,760000000,734000000,708000000
18,A,totalOtherIncomeExpenseNet,-74000000,29000000,-22000000,-15000000
19,A,discontinuedOperations,,,,
20,A,netIncomeFromContinuingOps,283000000,442000000,264000000,216000000
21,A,netIncomeApplicableToCommonShares,283000000,442000000,264000000,216000000
22,AAL,researchDevelopment,,,,
23,AAL,effectOfAccountingCharges,,,,
24,AAL,incomeBeforeTax,-1191000000,206000000,9000000,-1573000000
25,AAL,minorityInterest,,,,
26,AAL,netIncome,-932000000,169000000,19000000,-1250000000
27,AAL,sellingGeneralAdministrative,353000000,318000000,277000000,151000000
28,AAL,grossProfit,1428000000,1525000000,787000000,-1806000000
29,AAL,ebit,-715000000,-382000000,-929000000,-3151000000
30,AAL,operatingIncome,-715000000,-382000000,-929000000,-3151000000
31,AAL,otherOperatingExpenses,1210000000,1109000000,958000000,716000000
32,AAL,interestExpense,-468000000,-476000000,-486000000,-371000000
33,AAL,extraordinaryItems,,,,
34,AAL,nonRecurring,,,,
35,AAL,otherItems,,,,
36,AAL,incomeTaxExpense,-259000000,37000000,-10000000,-323000000
37,AAL,totalRevenue,9427000000,8969000000,7478000000,4008000000
38,AAL,totalOperatingExpenses,10142000000,9351000000,8407000000,7159000000
39,AAL,costOfRevenue,7999000000,7444000000,6691000000,5814000000
40,AAL,totalOtherIncomeExpenseNet,-476000000,588000000,938000000,1578000000
41,AAL,discontinuedOperations,,,,
42,AAL,netIncomeFromContinuingOps,-932000000,169000000,19000000,-1250000000
43,AAL,netIncomeApplicableToCommonShares,-932000000,169000000,19000000,-1250000000
44,AAP,researchDevelopment,,,,
45,AAP,effectOfAccountingCharges,,,,
46,AAP,incomeBeforeTax,99965000,222421000,237765000,245774000
47,AAP,minorityInterest,,,,
48,AAP,netIncome,81669000,169813000,178696000,185930000
49,AAP,sellingGeneralAdministrative,924729000,944581000,932793000,1200138000
50,AAP,grossProfit,1072114000,1182597000,1189416000,1487229000
51,AAP,ebit,119798000,238016000,256623000,287091000
52,AAP,operatingIncome,119798000,238016000,256623000,287091000
53,AAP,otherOperatingExpenses,,,,
54,AAP,interestExpense,-9706000,-8587000,-8306000,-11191000
55,AAP,extraordinaryItems,,,,
56,AAP,nonRecurring,,,,
57,AAP,otherItems,,,,
58,AAP,incomeTaxExpense,18296000,52608000,59069000,59844000
59,AAP,totalRevenue,2396975000,2621229000,2649415000,3330370000
60,AAP,totalOperatingExpenses,2277177000,2383213000,2392792000,3043279000
61,AAP,costOfRevenue,1324861000,1438632000,1459999000,1843141000
62,AAP,totalOtherIncomeExpenseNet,-19833000,-15595000,-18858000,-41317000
63,AAP,discontinuedOperations,,,,
64,AAP,netIncomeFromContinuingOps,81669000,169813000,178696000,185930000
65,AAP,netIncomeApplicableToCommonShares,81669000,169813000,178696000,185930000
66,AAPL,researchDevelopment,6306000000,5772000000,5717000000,5262000000
67,AAPL,effectOfAccountingCharges,,,,
68,AAPL,incomeBeforeTax,41241000000,23248000000,24369000000,28011000000
69,AAPL,minorityInterest,,,,
70,AAPL,netIncome,34630000000,20551000000,21744000000,23630000000
71,AAPL,sellingGeneralAdministrative,6449000000,5616000000,5412000000,5314000000
72,AAPL,grossProfit,54243000000,35174000000,35255000000,38079000000
73,AAPL,ebit,41488000000,23786000000,24126000000,27503000000
74,AAPL,operatingIncome,41488000000,23786000000,24126000000,27503000000
75,AAPL,otherOperatingExpenses,,,,
76,AAPL,interestExpense,-694000000,-672000000,-665000000,-670000000
77,AAPL,extraordinaryItems,,,,
78,AAPL,nonRecurring,,,,
79,AAPL,otherItems,,,,
80,AAPL,incomeTaxExpense,6611000000,2697000000,2625000000,4381000000
81,AAPL,totalRevenue,123945000000,83360000000,81434000000,89584000000
82,AAPL,totalOperatingExpenses,82457000000,59574000000,57308000000,62081000000
83,AAPL,costOfRevenue,69702000000,48186000000,46179000000,51505000000
84,AAPL,totalOtherIncomeExpenseNet,-247000000,-538000000,243000000,508000000
85,AAPL,discontinuedOperations,,,,
86,AAPL,netIncomeFromContinuingOps,34630000000,20551000000,21744000000,23630000000
87,AAPL,netIncomeApplicableToCommonShares,34630000000,20551000000,21744000000,23630000000
88,ABBV,researchDevelopment,1812000000,1655000000,1784000000,1731000000
89,ABBV,effectOfAccountingCharges,,,,
90,ABBV,incomeBeforeTax,4271000000,3688000000,1163000000,3867000000
91,ABBV,minorityInterest,28000000,27000000,25000000,23000000
